"SpID","Site","Core","Abun"
32,1,"A",5
38,1,"A",2
46,1,"A",5
48,1,"A",1
103,1,"A",4
32,1,"B",3
46,1,"B",6
48,1,"B",1
103,1,"B",1
105,1,"B",2
1,1,"C",1
32,1,"C",5
38,1,"C",2
46,1,"C",11
48,1,"C",1
62,1,"C",1
76,1,"C",2
83,1,"C",1
102,1,"C",1
103,1,"C",2
105,1,"C",15
28,1,"D",2
32,1,"D",1
38,1,"D",3
46,1,"D",16
48,1,"D",3
105,1,"D",11
32,1,"E",7
46,1,"E",8
48,1,"E",2
76,1,"E",2
103,1,"E",2
105,1,"E",2
10,2,"A",1
32,2,"A",1
33,2,"A",1
46,2,"A",6
73,2,"A",2
103,2,"A",1
105,2,"A",1
10,2,"B",1
32,2,"B",1
46,2,"B",6
104,2,"B",1
10,2,"C",2
28,2,"C",1
32,2,"C",1
46,2,"C",8
73,2,"C",2
76,2,"C",1
10,2,"D",3
46,2,"D",11
73,2,"D",2
10,2,"E",2
32,2,"E",1
46,2,"E",4
73,2,"E",5
32,3,"A",2
46,3,"A",13
104,3,"A",2
30,3,"B",1
32,3,"B",1
46,3,"B",6
76,3,"B",6
103,3,"B",2
104,3,"B",4
32,3,"C",5
38,3,"C",1
46,3,"C",10
76,3,"C",4
103,3,"C",3
105,3,"C",4
32,3,"D",5
38,3,"D",1
46,3,"D",4
32,3,"E",3
46,3,"E",7
105,3,"E",1
28,4,"A",77
33,4,"A",5
38,4,"A",3
46,4,"A",9
103,4,"A",2
28,4,"B",84
32,4,"B",6
33,4,"B",3
38,4,"B",2
46,4,"B",8
105,4,"B",1
10,4,"C",8
28,4,"C",40
32,4,"C",2
33,4,"C",14
38,4,"C",2
46,4,"C",10
103,4,"C",1
28,4,"D",99
32,4,"D",1
33,4,"D",1
46,4,"D",8
83,4,"D",1
84,4,"D",1
103,4,"D",2
26,4,"E",34
32,4,"E",3
33,4,"E",1
38,4,"E",1
46,4,"E",6
10,5,"A",1
32,5,"A",5
33,5,"A",1
46,5,"A",3
48,5,"A",4
76,5,"A",12
83,5,"A",2
97,5,"A",5
105,5,"A",21
28,5,"B",1
32,5,"B",6
46,5,"B",7
48,5,"B",7
76,5,"B",2
83,5,"B",1
97,5,"B",6
105,5,"B",43
32,5,"C",10
33,5,"C",3
46,5,"C",9
48,5,"C",9
76,5,"C",1
83,5,"C",2
84,5,"C",2
97,5,"C",7
103,5,"C",5
105,5,"C",46
28,5,"D",1
32,5,"D",6
38,5,"D",1
46,5,"D",7
48,5,"D",9
97,5,"D",1
103,5,"D",1
105,5,"D",53
32,5,"E",9
33,5,"E",1
38,5,"E",1
46,5,"E",6
48,5,"E",1
59,5,"E",1
83,5,"E",2
103,5,"E",1
105,5,"E",31
10,6,"A",8
28,6,"A",1
46,6,"A",6
67,6,"A",1
76,6,"A",3
105,6,"A",6
10,6,"B",12
38,6,"B",1
46,6,"B",9
48,6,"B",1
67,6,"B",1
105,6,"B",2
10,6,"C",6
32,6,"C",1
46,6,"C",12
73,6,"C",1
105,6,"C",2
10,6,"D",27
32,6,"D",2
46,6,"D",12
10,6,"E",11
18,6,"E",2
32,6,"E",3
38,6,"E",2
46,6,"E",6
48,6,"E",8
59,6,"E",1
67,6,"E",4
76,6,"E",15
97,6,"E",1
105,6,"E",2
10,7,"A",9
38,7,"A",1
46,7,"A",5
67,7,"A",1
103,7,"A",1
106,7,"A",2
32,7,"B",2
46,7,"B",8
67,7,"B",2
73,7,"B",1
46,7,"C",5
67,7,"C",1
10,7,"D",11
18,7,"D",1
38,7,"D",1
46,7,"D",12
48,7,"D",1
67,7,"D",1
106,7,"D",1
46,7,"E",1
67,7,"E",2
28,8,"A",15
46,8,"A",9
104,8,"A",1
28,8,"B",19
46,8,"B",13
76,8,"B",1
104,8,"B",2
28,8,"C",14
46,8,"C",7
104,8,"C",1
28,8,"D",11
46,8,"D",12
104,8,"D",3
28,8,"E",14
46,8,"E",9
66,8,"E",1
104,8,"E",4
28,9,"A",22
46,9,"A",6
48,9,"A",1
28,9,"B",19
32,9,"B",1
104,9,"B",4
28,9,"C",12
46,9,"C",3
28,9,"D",49
46,9,"D",2
28,9,"E",11
46,9,"E",2
10,10,"A",1
26,10,"A",1
32,10,"A",4
46,10,"A",7
97,10,"A",1
104,10,"A",2
10,10,"B",2
28,10,"B",3
29,10,"B",1
32,10,"B",4
46,10,"B",12
48,10,"B",1
67,10,"B",2
83,10,"B",1
84,10,"B",2
93,10,"B",1
97,10,"B",1
103,10,"B",2
104,10,"B",8
105,10,"B",75
10,10,"C",2
28,10,"C",2
32,10,"C",5
33,10,"C",1
38,10,"C",6
46,10,"C",7
67,10,"C",1
83,10,"C",2
103,10,"C",3
105,10,"C",10
10,10,"D",26
18,10,"D",1
32,10,"D",9
38,10,"D",1
46,10,"D",12
