"Present","Area","Distance","Quality"
1,1500,90,17.2
1,1200,90,13.2
1,3500,75,12.7
1,800,75,13.1
0,2050,75,5.5
0,,325,17.9
1,,425,21.9
1,,75,21.7
1,3750,100,20.6
0,,75,5
1,,100,21.3
0,,75,3.2
1,,100,21.5
0,,150,21.5
0,,270,21.5
1,4500,260,13.7
1,,130,12.5
0,2750,75,16.9
1,19600,75,39.1
0,,312,33.9
0,,300,12.2
0,,160,8.4
0,,560,12.7
1,500,75,24
1,3200,130,19.8
0,3200,210,1.2
0,1600,250,2.2
0,1350,280,1.2
1,2400,75,17.5
0,3000,75,0.15
0,70000,460,11.7
0,2000,280,0
0,6500,180,10.6
0,600,75,0.65
1,7500,75,7.4
0,3500,75,2.4
0,5600,180,0.2
0,1400,250,1.7
0,8400,345,0.35
0,4200,440,4.4
0,4125,613,0.35
0,1825,125,7.9
0,,100,11.5
1,4900,300,22.2
1,10000,260,19.3
1,,125,5.1
0,,110,1.8
1,,100,6.3
0,,90,10.1
0,,4000,12.3
1,675,100,7.4
1,10450,100,12.5
1,,90,13.3
1,2070,110,12.1
0,825,75,7.5
0,1250,75,5
1,2520,80,26.1
1,,80,2.1
0,,150,5.8
1,,230,19.7
1,,230,6.2
0,,200,5
0,,200,5
0,,100,5
1,,125,5
1,,125,10
1,3000,300,21.4
1,6000,100,17
1,1500,100,16.3
0,2250,75,12.3
0,3750,90,9
0,,100,9.4
