"salinity","height","grain","exposure"
29.4,0.045,222.5,10
29.4,-1.036,200,10
29.4,-1.336,194.5,10
29.4,0.616,221,10
29.4,-0.684,202,10
29.6,1.19,192.5,8
29.6,0.82,205.5,8
29.6,0.635,211.5,8
29.6,0.061,205.5,8
29.6,-1.334,197,8
27.9,-0.976,330.5,11
27.9,-0.201,296.5,11
27.9,-0.482,304,11
27.9,0.167,323.5,11
28.1,-0.03,361,11
28.1,0.46,330.5,11
28.1,1.367,289.5,11
28.1,-0.811,297,11
29.9,1.117,251.5,10
29.9,-0.503,265,10
29.9,0.729,275.5,10
29.9,0.054,254.5,10
27.1,-0.578,351,11
27.1,-0.348,405.5,11
27.1,2.222,347.5,11
27.1,-0.893,336,11
27.1,0.766,354.5,11
27.4,0.883,266,11
27.4,-0.06,242,11
27.4,0.367,284,11
26.4,1.671,294.5,10
26.4,-0.375,316.5,10
26.4,-1.005,355,10
26.4,0.17,362,10
27.1,-0.356,244.5,10
27.1,0.094,247.5,10
27.1,-0.002,223,10
27.1,0.865,189.5,10
