"","density","rate"
"1",4000,0.2688171268
"2",4000,0.5512306094
"3",4000,0.511769712
"4",4000,0.5784085393
"5",4000,0.468228966
"6",4000,0.563475132
"7",4000,0.6588235497
"8",4000,0.5690777302
"9",4000,0.6865801811
"10",4000,0.481182456
"11",4000,0.5077993274
"12",4000,0.3303298354
"13",4000,0.5352936387
"14",4000,0.6024119854
"15",4000,0.200000003
"16",4000,0.6600702405
"17",4000,0.3947373033
"18",4000,0.496689558
"19",4000,0.5292758942
"20",4000,0.5320906043
"21",4000,0.69378829
"22",4000,0.4648093879
"23",4000,0.3984080553
"24",4000,0.4629631042
"25",4000,0.4539582133
"26",4000,0.661157012
"27",3000,0.6737251282
"28",3000,0.5176323056
"29",3000,0.5789638162
"30",3000,0.8151276112
"31",3000,0.7843143344
"32",3000,0.6708888412
"33",3000,0.5217377543
"34",3000,0.5769230723
"35",3000,0.7301691771
"36",3000,0.5264887214
"37",3000,0.3653272986
"38",3000,0.3627974689
"39",3000,0.3649633229
"40",3000,0.5834688544
"41",3000,0.6624723077
"42",3000,0.5644091368
"43",3000,0.6581077576
"44",3000,0.495867759
"45",3000,0.264287889
"46",3000,0.3546096981
"47",3000,0.5647845268
"48",3000,0.2977176905
"49",3000,0.5646193624
"50",3000,0.5617981553
"51",3000,0.8597886562
"52",3000,0.6988398433
"53",3000,0.5252797008
"54",2000,0.7331818342
"55",2000,0.5627282858
"56",2000,0.4804410338
"57",2000,0.3627989292
"58",2000,0.8554362655
"59",2000,0.3985404968
"60",2000,0.4976792932
"61",2000,0.3973484337
"62",2000,0.5415756106
"63",2000,0.7911398411
"64",2000,0.5214728117
"65",2000,0.4287606478
"66",2000,0.3009023666
"67",2000,0.5797114968
"68",2000,0.5294490457
"69",2000,0.6205095649
"70",2000,0.3113313615
"71",2000,0.6062927246
"72",2000,0.395778656
"73",2000,0.7154878974
"74",2000,0.3655703664
"75",2000,0.6981365085
"76",2000,0.4656173587
"77",2000,0.6308102012
"78",2000,0.3250974119
"79",2000,0.6972112656
"80",2000,0.3805616796
"81",2000,0.3618418276
"82",1000,0.3646000624
"83",1000,0.4371218681
"84",1000,0.4683838487
"85",1000,0.2687267363
"86",1000,0.4358026385
"87",1000,0.330907017
"88",1000,0.1704741716
"89",1000,0.4585649073
"90",1000,0.722494185
"91",1000,0.1981503963
"92",1000,0.4076094925
"93",1000,0.4628099203
"94",1000,0.3695483506
"95",1000,0.373832047
"96",1000,0.5481126308
"97",1000,0.3631564081
"98",1000,0.661913991
"99",1000,0.5417938232
"100",1000,0.543266952
"101",1000,0.4021131694
"102",500,0.3949966431
"103",500,0.5273572206
"104",500,0.3921575546
"105",500,0.3635160625
"106",500,0.4226558506
"107",500,0.1962719858
"108",500,0.5305033922
"109",500,0.354380995
"110",500,0.1497012228
"111",500,0.270563066
"112",500,0.198741287
"113",500,0.4293258786
"114",500,0.3951154351
"115",500,0.5791479945
"116",500,0.6239734888
"117",500,0.4597705305
"118",500,0.2348200679
"119",500,0.5263164043
"120",500,0.5992015004
"121",500,0.2977176905
"122",500,0.4900361598
"123",500,0.4207570851
"124",500,0.5340431929
"125",500,0.434784025
"126",250,0.3901169002
"127",250,0.3368267119
"128",250,0.1880876273
"129",250,0.4301068783
"130",250,0.2592351139
"131",250,0.362916559
"132",250,0.2232854366
"133",250,0.4129600525
"134",250,0.236886248
"135",250,0.5407134891
"136",125,0.4259503484
"137",125,0.3810734749
"138",125,0.2043589205
"139",125,0.3223730922
"140",125,0.2794166803
"141",125,0.4039665163
"142",125,0.3275463581
"143",125,0.4286182821
"144",125,0.4014062881
"145",125,0.185127154
"146",125,0.0967429578
