"","site","Abra.tennuis","Alderia.modesta","Ampelisca.brevicornis","Ampharete.balthica","Amphibalanus.improvisus","Amphipholis.squamata","Anaitides.mucosa","Anemonia.viridis","Aonides.oxycephala","Aphelochaeta.marioni","Apseudes.latreillii","Arenicola.marina","Bathyporeia.indet.","Bryozoa.indef.","Capitella.capitata","Carcinus.maenas","Caulleriella.zetlandica","Cerastoderma.edule","Cerastoderma.glaucum","Cereus.pedunculatus","Chaetozone.christii","Chironomidae","Cirratulidae..indet..","Cirriformia.tentaculata","Copepoda..Harpacticoida","Corophium.arenarium","Corophium.insidiosum","Corophium.volutator","Cossura.longe","Crangon.crangon","Crepidula.fornicata","Cyathura.carinata","Desdemona.ornata","Dolichopodidae","Dosinia.lupinus","Elminius.modestus","Eteone.foliosa","Eteone.longa","Eumida.cf.sanguinea","Eumida.punctifera","Eusarsiella.zostericola","Gammarus.locusta","Gibbula.umbilicalis","Glycera.tridactyla","Haminoea.navicula","Hediste.diversicolor","Hinia.reticulata","Hydrobia.ulvae","Hydrobia.ventrosa","Idotea.balthica","Idotea.chelipes","Insecta.indet","Insecta.larvae","Janua.pagenstecheri","Leptochitona.cinereus","Liocarcinus.arcuatus","Littorina.littorea","Littorina.saxatilis.agg.","Macoma.balthica","Malacoceros.tetraceros","Mediomastus.fragilis","Melinna.palmata","Melita.palmata","Microdeutopus.grllotalpus","Microphthalmus.cf.similis","Microprotopus.maculeatus","Mya.arenaria","Mytilus.edulis","Neanthes.virens","Nematostella.vectensis","Nemertina","Neoamphitrite.figulus","Nephtys.hombergii","Nephtys.kersivalensis","Notomastus.latericeus","Ostracoda.sp.","Other..incl.algae.","Palaemonetes.varians","Parapionosyllis.minuta","Parvicardium.exiguum","Phtisica.marina","Polycirrus.sp","Polydora.cornuta","Polydora.sp","Pomatoceros.lamarki","Pomatochistus.sp.","Pranus.inermis","Pseudopolydora.paucibranchiata","Pygospio.elegans","Retusa.obtusa","Retusa.ovata","Ruditapes.decussatus","Ruditapes.phillipinarum","Sabella.pavonina","Scolelepsis.sp.","Scoloplos.armiger","Scrobicularia.plana","Serpulidae.sp.","Solen.marginatus","Sphaeroma.rugicauda","Spio.martinensis","Spionidae.sp","Streblospio.shrubsolii","Tubificoides.benedii","Tubificoides.pseudogaster","Tubificoides.sp.","Urothoe.brevicornis","Venerupis.saxatilis","X","Y","sector","Sediment1","Sediment2","AlgaeCover","HedisteDensity","HedisteBiomass","HedistePresent","CerastodermaDensity","CerastodermaBiomass","CerastodermaPresent"
"1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,21,0,0,0,0,0,7,0,0,0,0,0,0,0,46,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,30,0,0,0,394598,87489,"DP019",1,1,1,1171.3808,7.7952818107,1,0,0,0
"2",2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,394550,88048,"DP019",1,1,0,891.268,8.2728185809,1,0,0,0
"3",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,0,0,0,394435,88459,"DP019",1,1,0,1018.592,6.4129273662,1,0,0,0
"4",4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,300,0,0,0,12,24,0,0,0,0,8,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,394932,87593,"DP019",1,1,0,1044.0568,11.7084228923,1,0,0,0
"5",5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,36,5,0,0,0,0,2,0,0,0,0,0,0,0,32,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,7,0,194,0,0,0,395021,87989,"DP019",1,1,0,814.8736,2.3684623757,1,0,0,0
"6",6,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,45,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,394930,88485,"DP018",1,1,0,1145.916,4.5571304703,1,50.9296,0.0009741672,1
"7",7,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,395169,89036,"DP018",1,1,0,789.4088,7.0482058326,1,25.4648,8.8948e-05,1
"8",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,395006,89481,"DP018",1,1,2,1273.24,8.8388221742,1,0,0,0
"9",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,395532,87664,"DP017",1,1,0,331.0424,2.8605684542,1,0,0,0
"10",10,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,6,1,0,0,28,1,0,0,0,0,8,0,0,0,0,0,0,0,56,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,6,12,181,0,0,0,395502,87983,"DP017",1,1,0,1426.0288,1.737380873,1,50.9296,0.0088097839,1
