;"Species";"site";"core";"Abun";"SpId"
"651";"Cyathura carinata";1;"A";"5";4
"766";"Eteone longa";1;"A";"2";1
"907";"Hediste diversicolor";1;"A";"5";2
"1144";"Hydrobia ulvae";1;"A";"1";5
"2087";"Streblospio shrubsolii";1;"A";"4";3
"652";"Cyathura carinata";1;"B";"3";4
"887";"Hediste diversicolor";1;"B";"6";2
"1198";"Hydrobia ulvae";1;"B";"1";5
"2113";"Streblospio shrubsolii";1;"B";"1";3
"2287";"Tubificoides pseudogaster";1;"B";"2";6
"25";"Abra tennuis";1;"C";"1";11
"699";"Cyathura carinata";1;"C";"5";4
"776";"Eteone longa";1;"C";"2";1
"893";"Hediste diversicolor";1;"C";"11";2
"1207";"Hydrobia ulvae";1;"C";"1";5
"1385";"Melinna palmata";1;"C";"1";7
"1780";"Ostracoda sp.";1;"C";"2";10
"1827";"Polydora cornuta";1;"C";"1";8
"2078";"Spionidae sp";1;"C";"1";9
"2109";"Streblospio shrubsolii";1;"C";"2";3
"2292";"Tubificoides pseudogaster";1;"C";"15";6
"606";"Corophium volutator";1;"D";"2";12
"694";"Cyathura carinata";1;"D";"1";4
"787";"Eteone longa";1;"D";"3";1
"968";"Hediste diversicolor";1;"D";"16";2
"1174";"Hydrobia ulvae";1;"D";"3";5
"2274";"Tubificoides pseudogaster";1;"D";"11";6
"642";"Cyathura carinata";1;"E";"7";4
"932";"Hediste diversicolor";1;"E";"8";2
"1143";"Hydrobia ulvae";1;"E";"2";5
"1753";"Ostracoda sp.";1;"E";"2";10
"2099";"Streblospio shrubsolii";1;"E";"2";3
"2265";"Tubificoides pseudogaster";1;"E";"2";6
"206";"Aphelochaeta marioni";2;"A";"1";13
"673";"Cyathura carinata";2;"A";"1";4
"727";"Desdemona ornata";2;"A";"1";14
"900";"Hediste diversicolor";2;"A";"6";2
"1698";"Nephtys hombergii";2;"A";"2";15
"2098";"Streblospio shrubsolii";2;"A";"1";3
"2316";"Tubificoides pseudogaster";2;"A";"1";6
"301";"Aphelochaeta marioni";2;"B";"1";13
"634";"Cyathura carinata";2;"B";"1";4
"906";"Hediste diversicolor";2;"B";"6";2
"2234";"Tubificoides benedii";2;"B";"1";16
"193";"Aphelochaeta marioni";2;"C";"2";13
"553";"Corophium volutator";2;"C";"1";12
"640";"Cyathura carinata";2;"C";"1";4
"910";"Hediste diversicolor";2;"C";"8";2
"1601";"Nephtys hombergii";2;"C";"2";15
"1760";"Ostracoda sp.";2;"C";"1";10
"160";"Aphelochaeta marioni";2;"D";"3";13
"916";"Hediste diversicolor";2;"D";"11";2
"1604";"Nephtys hombergii";2;"D";"2";15
"256";"Aphelochaeta marioni";2;"E";"2";13
"701";"Cyathura carinata";2;"E";"1";4
"919";"Hediste diversicolor";2;"E";"4";2
"1668";"Nephtys hombergii";2;"E";"5";15
"637";"Cyathura carinata";3;"A";"2";4
"1003";"Hediste diversicolor";3;"A";"13";2
"2163";"Tubificoides benedii";3;"A";"2";16
"621";"Crangon crangon";3;"B";"1";17
"685";"Cyathura carinata";3;"B";"1";4
"1006";"Hediste diversicolor";3;"B";"6";2
"1751";"Ostracoda sp.";3;"B";"6";10
"2130";"Streblospio shrubsolii";3;"B";"2";3
"2192";"Tubificoides benedii";3;"B";"4";16
"645";"Cyathura carinata";3;"C";"5";4
"792";"Eteone longa";3;"C";"1";1
"1013";"Hediste diversicolor";3;"C";"10";2
"1781";"Ostracoda sp.";3;"C";"4";10
"2110";"Streblospio shrubsolii";3;"C";"3";3
"2270";"Tubificoides pseudogaster";3;"C";"4";6
"633";"Cyathura carinata";3;"D";"5";4
"818";"Eteone longa";3;"D";"1";1
"911";"Hediste diversicolor";3;"D";"4";2
"664";"Cyathura carinata";3;"E";"3";4
"1021";"Hediste diversicolor";3;"E";"7";2
"2283";"Tubificoides pseudogaster";3;"E";"1";6
"595";"Corophium volutator";4;"A";"77";12
"724";"Desdemona ornata";4;"A";"5";14
"816";"Eteone longa";4;"A";"3";1
"1026";"Hediste diversicolor";4;"A";"9";2
"2100";"Streblospio shrubsolii";4;"A";"2";3
"585";"Corophium volutator";4;"B";"84";12
"666";"Cyathura carinata";4;"B";"6";4
"729";"Desdemona ornata";4;"B";"3";14
"770";"Eteone longa";4;"B";"2";1
"1122";"Hediste diversicolor";4;"B";"8";2
"2312";"Tubificoides pseudogaster";4;"B";"1";6
"170";"Aphelochaeta marioni";4;"C";"8";13
"607";"Corophium volutator";4;"C";"40";12
"703";"Cyathura carinata";4;"C";"2";4
"714";"Desdemona ornata";4;"C";"14";14
"777";"Eteone longa";4;"C";"2";1
"917";"Hediste diversicolor";4;"C";"10";2
"2124";"Streblospio shrubsolii";4;"C";"1";3
"566";"Corophium volutator";4;"D";"99";12
"710";"Cyathura carinata";4;"D";"1";4
"726";"Desdemona ornata";4;"D";"1";14
"922";"Hediste diversicolor";4;"D";"8";2
"1835";"Polydora cornuta";4;"D";"1";8
"1860";"Polydora sp";4;"D";"1";18
"2122";"Streblospio shrubsolii";4;"D";"2";3
"543";"Corophium arenarium";4;"E";"34";19
"656";"Cyathura carinata";4;"E";"3";4
"712";"Desdemona ornata";4;"E";"1";14
"809";"Eteone longa";4;"E";"1";1
"970";"Hediste diversicolor";4;"E";"6";2
"200";"Aphelochaeta marioni";5;"A";"1";13
"667";"Cyathura carinata";5;"A";"5";4
"728";"Desdemona ornata";5;"A";"1";14
"935";"Hediste diversicolor";5;"A";"3";2
"1195";"Hydrobia ulvae";5;"A";"4";5
"1782";"Ostracoda sp.";5;"A";"12";10
"1853";"Polydora cornuta";5;"A";"2";8
"2020";"Scrobicularia plana";5;"A";"5";20
"2267";"Tubificoides pseudogaster";5;"A";"21";6
"558";"Corophium volutator";5;"B";"1";12
"635";"Cyathura carinata";5;"B";"6";4
"942";"Hediste diversicolor";5;"B";"7";2
"1150";"Hydrobia ulvae";5;"B";"7";5
"1747";"Ostracoda sp.";5;"B";"2";10
"1841";"Polydora cornuta";5;"B";"1";8
"2019";"Scrobicularia plana";5;"B";"6";20
"2277";"Tubificoides pseudogaster";5;"B";"43";6
"672";"Cyathura carinata";5;"C";"10";4
"723";"Desdemona ornata";5;"C";"3";14
"991";"Hediste diversicolor";5;"C";"9";2
"1200";"Hydrobia ulvae";5;"C";"9";5
"1748";"Ostracoda sp.";5;"C";"1";10
"1824";"Polydora cornuta";5;"C";"2";8
"1855";"Polydora sp";5;"C";"2";18
"2027";"Scrobicularia plana";5;"C";"7";20
"2116";"Streblospio shrubsolii";5;"C";"5";3
"2297";"Tubificoides pseudogaster";5;"C";"46";6
"601";"Corophium volutator";5;"D";"1";12
"707";"Cyathura carinata";5;"D";"6";4
"780";"Eteone longa";5;"D";"1";1
"920";"Hediste diversicolor";5;"D";"7";2
"1266";"Hydrobia ulvae";5;"D";"9";5
"2013";"Scrobicularia plana";5;"D";"1";20
"2088";"Streblospio shrubsolii";5;"D";"1";3
"2345";"Tubificoides pseudogaster";5;"D";"53";6
"696";"Cyathura carinata";5;"E";"9";4
"718";"Desdemona ornata";5;"E";"1";14
"789";"Eteone longa";5;"E";"1";1
"929";"Hediste diversicolor";5;"E";"6";2
"1188";"Hydrobia ulvae";5;"E";"1";5
"1347";"Macoma balthica";5;"E";"1";21
"1838";"Polydora cornuta";5;"E";"2";8
"2129";"Streblospio shrubsolii";5;"E";"1";3
"2305";"Tubificoides pseudogaster";5;"E";"31";6
"285";"Aphelochaeta marioni";6;"A";"8";13
"589";"Corophium volutator";6;"A";"1";12
"978";"Hediste diversicolor";6;"A";"6";2
"1515";"Mya arenaria";6;"A";"1";22
"1787";"Ostracoda sp.";6;"A";"3";10
"2310";"Tubificoides pseudogaster";6;"A";"6";6
"271";"Aphelochaeta marioni";6;"B";"12";13
"800";"Eteone longa";6;"B";"1";1
"985";"Hediste diversicolor";6;"B";"9";2
"1191";"Hydrobia ulvae";6;"B";"1";5
"1508";"Mya arenaria";6;"B";"1";22
"2278";"Tubificoides pseudogaster";6;"B";"2";6
"219";"Aphelochaeta marioni";6;"C";"6";13
"681";"Cyathura carinata";6;"C";"1";4
"950";"Hediste diversicolor";6;"C";"12";2
"1642";"Nephtys hombergii";6;"C";"1";15
"2323";"Tubificoides pseudogaster";6;"C";"2";6
"222";"Aphelochaeta marioni";6;"D";"27";13
"657";"Cyathura carinata";6;"D";"2";4
"955";"Hediste diversicolor";6;"D";"12";2
"154";"Aphelochaeta marioni";6;"E";"11";13
"438";"Cerastoderma edule";6;"E";"2";23
"687";"Cyathura carinata";6;"E";"3";4
"814";"Eteone longa";6;"E";"2";1
"1071";"Hediste diversicolor";6;"E";"6";2
"1206";"Hydrobia ulvae";6;"E";"8";5
"1350";"Macoma balthica";6;"E";"1";21
"1504";"Mya arenaria";6;"E";"4";22
"1785";"Ostracoda sp.";6;"E";"15";10
"2024";"Scrobicularia plana";6;"E";"1";20
"2342";"Tubificoides pseudogaster";6;"E";"2";6
"266";"Aphelochaeta marioni";7;"A";"9";13
"808";"Eteone longa";7;"A";"1";1
"1088";"Hediste diversicolor";7;"A";"5";2
"1495";"Mya arenaria";7;"A";"1";22
"2115";"Streblospio shrubsolii";7;"A";"1";3
"2386";"Tubificoides sp.";7;"A";"2";24
"663";"Cyathura carinata";7;"B";"2";4
"897";"Hediste diversicolor";7;"B";"8";2
"1498";"Mya arenaria";7;"B";"2";22
"1681";"Nephtys hombergii";7;"B";"1";15
"1018";"Hediste diversicolor";7;"C";"5";2
"1524";"Mya arenaria";7;"C";"1";22
"277";"Aphelochaeta marioni";7;"D";"11";13
"441";"Cerastoderma edule";7;"D";"1";23
"797";"Eteone longa";7;"D";"1";1
"901";"Hediste diversicolor";7;"D";"12";2
"1254";"Hydrobia ulvae";7;"D";"1";5
"1531";"Mya arenaria";7;"D";"1";22
"2394";"Tubificoides sp.";7;"D";"1";24
"946";"Hediste diversicolor";7;"E";"1";2
"1477";"Mya arenaria";7;"E";"2";22
"574";"Corophium volutator";8;"A";"15";12
"949";"Hediste diversicolor";8;"A";"9";2
"2162";"Tubificoides benedii";8;"A";"1";16
"552";"Corophium volutator";8;"B";"19";12
"992";"Hediste diversicolor";8;"B";"13";2
"1746";"Ostracoda sp.";8;"B";"1";10
"2150";"Tubificoides benedii";8;"B";"2";16
"561";"Corophium volutator";8;"C";"14";12
"1101";"Hediste diversicolor";8;"C";"7";2
"2132";"Tubificoides benedii";8;"C";"1";16
"584";"Corophium volutator";8;"D";"11";12
"1040";"Hediste diversicolor";8;"D";"12";2
"2226";"Tubificoides benedii";8;"D";"3";16
"600";"Corophium volutator";8;"E";"14";12
"921";"Hediste diversicolor";8;"E";"9";2
