"Site","X","Y","sector","Sediment1","Sediment2","AlgaeCover","HedisteDensity","HedisteBiomass","HedistePresent","CerastodermaDensity","CerastodermaBiomass","CerastodermaPresent"
1,394598,87489,"DP019",1,1,1,1171.3808,7.7952818107,1,0,0,0
2,394550,88048,"DP019",1,1,0,891.268,8.2728185809,1,0,0,0
3,394435,88459,"DP019",1,1,0,1018.592,6.4129273662,1,0,0,0
4,394932,87593,"DP019",1,1,0,1044.0568,11.7084228923,1,0,0,0
5,395021,87989,"DP019",1,1,0,814.8736,2.3684623757,1,0,0,0
6,394930,88485,"DP018",1,1,0,1145.916,4.5571304703,1,50.9296,0.0009741672,1
7,395169,89036,"DP018",1,1,0,789.4088,7.0482058326,1,25.4648,0.000088948,1
8,395006,89481,"DP018",1,1,2,1273.24,8.8388221742,1,0,0,0
9,395532,87664,"DP017",1,1,0,331.0424,2.8605684542,1,0,0,0
10,395502,87983,"DP017",1,1,0,1426.0288,1.737380873,1,50.9296,0.0088097839,1
11,395492,88515,"DP017",1,1,2,2368.2264,4.7771811683,1,50.9296,0.0009741672,1
12,395510,89059,"DP018",1,1,0,254.648,0.7792173383,1,0,0,0
13,395521,89544,"DP018",1,1,10,1476.9584,8.1213375662,1,25.4648,1.2893319356,1
14,395516,90035,"DP015",1,1,1,2291.832,8.75102004,1,50.9296,0.0885610101,1
15,395494,90494,"DP015",1,1,90,2852.0576,34.9039159376,1,50.9296,3.3469677742,1
16,396086,88629,"DP017",1,1,1,687.5496,5.5925525185,1,0,0,0
17,395991,89570,"DP018",1,1,0,1833.4656,9.3147783808,1,50.9296,4.4128618056,1
18,395978,90016,"DP015",1,1,0,203.7184,0.8184782244,1,152.7888,11.1494860136,1
19,396054,90496,"DP015",1,1,20,432.9016,4.9129684672,1,25.4648,0,1
20,396500,89000,"DP017",0,0,0,1426.0288,9.5248792685,1,0,0,0
21,396539,90061,"DP015",1,1,0,203.7184,0.218138709,1,0,0,0
22,396495,90462,"DP014",1,1,0,101.8592,1.754505412,1,25.4648,10.6166865534,1
23,396824,86547,"DP032",1,1,0,1909.86,8.9630138831,1,0,0,0
24,397088,89476,"DP012",1,1,0,0,0,0,50.9296,0.0008852192,1
25,397030,90570,"DP014",1,1,0,305.5776,0.7171474103,1,127.324,0.0103618072,1
26,397007,91013,"DP013",1,1,0,25.4648,0.0178889553,1,25.4648,0.000088948,1
27,397000,92014,"DP016",1,1,0,993.1272,3.6107222288,1,0,0,0
28,397502,91500,"DP016",1,1,0,560.2256,3.0425755085,1,0,0.0008852192,0
29,397487,92026,"DP016",1,1,0,25.4648,0.5486597674,1,0,0,0
30,398036,86089,"DP029",1,1,2,2342.7616,7.9791544601,1,0,0,0
31,397880,86957,"DP031",1,1,0,25.4648,0.0122844473,1,50.9296,5.4953642876,1
32,398047,89032,"DP030",1,1,5,76.3944,0.0050490467,1,76.3944,10.6168644495,1
33,398000,90500,"DP013",0,0,0,0,0,0,0,0,0
34,397988,92033,"DP016",1,1,0,0,0,0,0,0,0
35,398500,86489,"DP029",1,1,0,5958.7632,7.2930459284,1,50.9296,0.0010631153,1
36,398502,86997,"DP029",1,1,1,3081.2408,6.2430298252,1,25.4648,0.0008852192,1
37,398610,87514,"DP031",0,0,0,1553.3528,7.0570408643,1,0,0,0
38,398617,87994,"DP031",0,0,1,407.4368,1.5708571863,1,50.9296,3.9605129337,1
39,398500,89000,"DP030",1,0,30,254.648,0.9597450857,1,76.3944,32.1320132041,1
40,399012,86995,"DP028",0,0,10,0,0,0,76.3944,14.2800644284,1
41,399001,87985,"DP027",0,0,1,865.8032,0.9919371228,1,50.9296,4.3637628685,1
42,399471,86058,"DP028",1,1,5,0,0,0,76.3944,0.1946802231,1
43,399517,86960,"DP028",1,1,80,0,0,0,127.324,8.7399001074,1
44,399490,87532,"DP028",1,1,0,356.5072,0.272883128,1,25.4648,0.0008852192,1
45,399485,91987,"DP008",1,1,5,585.6904,5.0013014366,1,25.4648,1.7684040106,1
46,399602,92425,"DP009",1,1,0,509.296,0.2491864609,1,25.4648,2.1492817326,1
47,399982,86538,"DP028",1,1,0,1069.5216,8.9130800968,1,101.8592,0.0022004842,1
48,399982,87077,"DP028",1,1,15,76.3944,0.1778148367,1,25.4648,10.6166865534,1
49,400186,90994,"DP007",1,1,80,25.4648,0.0489551708,1,0,0,0
50,400003,91537,"DP007",1,1,35,407.4368,1.1433458396,1,0,0,0
51,399891,92010,"DP008",1,1,10,25.4648,0.0040106533,1,0,0,0
52,400521,85510,"DP026",0,0,90,152.7888,0.120409933,1,0,0,0
53,400456,85992,"DP022",1,1,90,280.1128,5.4873431252,1,0,0,0
54,400500,86962,"DP028",0,0,30,305.5776,0.573228662,1,0,0,0
55,400507,91042,"DP007",1,1,0,0,0,0,76.3944,14.5206062193,1
56,400500,91446,"DP011",1,1,0,50.9296,0.0152769584,1,50.9296,7.8171704735,1
57,400533,92057,"DP011",1,1,5,25.4648,0.0040106533,1,0,0,0
58,400500,92500,"DP010",1,1,0,967.6624,5.1729997773,1,50.9296,5.4134433417,1
59,400993,86016,"DP024",1,1,50,76.3944,0.1328703192,1,0,0,0
60,400956,86545,"DP022",1,0,50,25.4648,0.0040106533,1,25.4648,11.6875088431,1
61,401589,85023,"DP021",1,0,50,0,0,0,25.4648,4.9443278873,1
62,401490,85553,"DP021",1,1,40,25.4648,0.3485662898,1,0,0,0
63,401500,86076,"DP021",1,1,70,76.3944,0.1609948001,1,25.4648,0,1
64,401486,87000,"DP023",1,0,50,152.7888,1.0261801946,1,0,0,0
65,401511,87479,"DP020",0,0,0,101.8592,1.3928142672,1,0,0,0
66,402027,84950,"DP021",1,0,95,0,0,0,127.324,3.2282654041,1
67,401970,85499,"DP021",1,1,20,0,0,0,0,0,0
68,402043,86021,"DP021",0,0,5,25.4648,0.4464528208,1,0,0,0
69,402037,86619,"DP020",1,0,0,0,0,0,0,0,0
70,401985,86995,"DP020",0,0,0,0,0,0,127.324,0.0037504292,1
71,402007,90026,"DP004",0,0,35,203.7184,0.0408639952,1,76.3944,25.681562831,1
72,402499,85901,"DP021",0,0,10,0,0,0,25.4648,6.2659330248,1
73,402500,90500,"DP004",0,0,30,229.1832,0.2275971011,1,0,0,0
74,402988,85919,"DP020",1,1,10,509.296,1.2024562333,1,0,0,0
75,403008,90506,"DP004",0,0,0,2215.4376,5.0668027359,1,50.9296,0.0042798562,1
76,403370,86360,"DP020",0,0,1,101.8592,0.0284119131,1,25.4648,0.2519724952,1
77,403498,90021,"DP004",1,0,0,127.324,0.0218996086,1,0,0,0
78,404505,87958,"DP001",0,0,1,0,0,0,0,0,0
79,404650,88462,"DP001",0,0,0,305.5776,1.3208142125,1,50.9296,2.9057895785,1
80,404615,88966,"DP001",0,0,2,0,0,0,0,0,0
