"","Species","Site","Abun"
"1","Abra tennuis",1,1
"2","Abra tennuis",11,2
"3","Abra tennuis",13,1
"4","Abra tennuis",14,20
"5","Abra tennuis",25,1
"6","Abra tennuis",26,31
"7","Abra tennuis",27,4
"8","Abra tennuis",28,2
"9","Abra tennuis",29,10
"10","Abra tennuis",30,97
"11","Abra tennuis",32,2
"12","Abra tennuis",35,11
"13","Abra tennuis",36,1
"14","Abra tennuis",45,1
"15","Abra tennuis",46,5
"16","Abra tennuis",47,3
"17","Abra tennuis",49,1
"18","Abra tennuis",50,8
"19","Abra tennuis",51,4
"20","Abra tennuis",52,36
"21","Abra tennuis",55,2
"22","Abra tennuis",56,8
"23","Abra tennuis",57,1
"24","Abra tennuis",58,2
"25","Abra tennuis",59,1
"26","Abra tennuis",61,4
"27","Abra tennuis",66,37
"28","Abra tennuis",69,0
"29","Abra tennuis",70,0
"30","Abra tennuis",72,1
"31","Abra tennuis",75,1
"32","Alderia modesta",41,1
"33","Alderia modesta",54,1
"34","Alderia modesta",66,1
"35","Alderia modesta",67,4
"36","Alderia modesta",69,0
"37","Alderia modesta",70,0
"38","Ampelisca brevicornis",33,2
"39","Ampelisca brevicornis",69,0
"40","Ampelisca brevicornis",70,2
"41","Ampelisca brevicornis",72,3
"42","Ampelisca brevicornis",78,2
"43","Ampharete balthica",39,1
"44","Ampharete balthica",40,4
"45","Ampharete balthica",46,1
"46","Ampharete balthica",60,1
"47","Ampharete balthica",69,0
"48","Ampharete balthica",70,0
"49","Amphibalanus improvisus",17,7
"50","Amphibalanus improvisus",69,0
"51","Amphibalanus improvisus",70,0
"52","Amphipholis squamata",47,1
"53","Amphipholis squamata",69,0
"54","Amphipholis squamata",70,0
"55","Amphipholis squamata",71,43
"56","Anaitides mucosa",25,1
"57","Anaitides mucosa",40,1
"58","Anaitides mucosa",41,2
"59","Anaitides mucosa",42,1
"60","Anaitides mucosa",46,1
"61","Anaitides mucosa",48,1
"62","Anaitides mucosa",52,9
"63","Anaitides mucosa",60,2
"64","Anaitides mucosa",61,17
"65","Anaitides mucosa",66,9
"66","Anaitides mucosa",69,0
"67","Anaitides mucosa",70,0
"68","Anaitides mucosa",71,2
"69","Anaitides mucosa",73,2
"70","Anaitides mucosa",75,1
"71","Anaitides mucosa",78,1
"72","Anaitides mucosa",79,7
"73","Anemonia viridis",69,0
"74","Anemonia viridis",70,0
"75","Aonides oxycephala",69,0
"76","Aonides oxycephala",70,0
"77","Aonides oxycephala",71,1
"78","Aphelochaeta marioni",2,9
"79","Aphelochaeta marioni",4,8
"80","Aphelochaeta marioni",5,1
"81","Aphelochaeta marioni",6,64
"82","Aphelochaeta marioni",7,20
"83","Aphelochaeta marioni",10,127
"84","Aphelochaeta marioni",11,439
"85","Aphelochaeta marioni",12,5
"86","Aphelochaeta marioni",14,23
"87","Aphelochaeta marioni",15,13
"88","Aphelochaeta marioni",16,77
"89","Aphelochaeta marioni",17,11
"90","Aphelochaeta marioni",18,8
"91","Aphelochaeta marioni",19,14
"92","Aphelochaeta marioni",20,52
"93","Aphelochaeta marioni",21,1
"94","Aphelochaeta marioni",22,124
"95","Aphelochaeta marioni",24,12
"96","Aphelochaeta marioni",25,13
"97","Aphelochaeta marioni",26,1
"98","Aphelochaeta marioni",27,5
"99","Aphelochaeta marioni",28,7
"100","Aphelochaeta marioni",31,18
"101","Aphelochaeta marioni",32,39
"102","Aphelochaeta marioni",34,3
"103","Aphelochaeta marioni",35,29
"104","Aphelochaeta marioni",36,4
"105","Aphelochaeta marioni",37,9
"106","Aphelochaeta marioni",38,14
"107","Aphelochaeta marioni",39,64
"108","Aphelochaeta marioni",41,10
"109","Aphelochaeta marioni",42,12
"110","Aphelochaeta marioni",43,1
"111","Aphelochaeta marioni",44,49
"112","Aphelochaeta marioni",45,2
"113","Aphelochaeta marioni",46,1
"114","Aphelochaeta marioni",47,1
"115","Aphelochaeta marioni",48,14
"116","Aphelochaeta marioni",49,1
"117","Aphelochaeta marioni",50,11
"118","Aphelochaeta marioni",51,14
"119","Aphelochaeta marioni",52,10
"120","Aphelochaeta marioni",54,3
"121","Aphelochaeta marioni",56,2
"122","Aphelochaeta marioni",57,4
