"sector","Shelduck","Oystercatcher","Grey_Plover","Avocet","Dunlin","Redshank","Blacktailed_Godwit","Curlew"
"DP001",0,72,0,0,40,6,1,15
"DP002",42,8,0,498,1,2,79,1
"DP003",0,0,0,0,0,0,0,0
"DP004",39,165,1,0,40,12,0,11
"DP005",0,52,0,0,0,3,0,3
"DP006",0,0,0,0,0,0,0,0
"DP007",0,0,0,0,0,0,0,0
"DP008",0,0,0,0,0,0,0,0
"DP009",68,50,17,0,26,29,0,37
"DP010",8,7,0,13,32,113,197,42
"DP011",99,45,0,0,0,43,74,64
"DP012",1,19,1,0,0,0,0,2
"DP013",0,0,0,0,0,0,0,0
"DP014",2,68,0,0,0,5,0,18
"DP015",5,127,0,0,3,0,18,160
"DP016",56,17,0,9,98,78,79,22
"DP017",150,54,2,0,485,0,421,200
"DP018",265,284,0,0,1638,34,381,945
"DP019",0,0,0,0,0,0,0,0
"DP020",3,12,0,0,0,1,0,3
"DP021",0,4,0,0,0,0,0,2
"DP022",0,0,0,0,0,0,0,0
"DP023",0,0,0,0,0,0,0,0
"DP024",0,0,0,0,0,0,0,0
"DP025",0,0,0,0,0,0,0,0
"DP026",0,0,0,0,0,0,0,0
"DP027",8,42,4,4,5,16,0,0
"DP028",110,79,36,0,308,22,1,86
"DP029",58,43,2,238,463,41,9,173
"DP030",127,76,1,0,88,18,108,71
"DP031",16,62,3,232,222,62,10,76
"DP032",8,17,0,29,0,8,3,15
"DP033",39,17,1,0,40,5,0,11
"DP034",0,148,0,0,0,7,0,0
"DP035",42,8,0,498,1,2,79,1
