"Lshell","BTVolume","Site"
122.1,39,6
100.1,21,6
100.7,23,6
102.3,22,6
94.9,20,6
116.9,22,6
94.9,21,6
91.5,18,6
94.3,21,6
85.6,15,6
113.5,36,6
111.5,32,6
106,33,6
115.5,35,6
101.1,28,6
97.4,22,6
89.2,17,6
121.1,35,6
95.8,22,6
94.7,30,6
108.6,31,6
100.2,19,6
107.2,30,6
112.6,29,6
103.3,24,6
118.9,27,3
61.9,5,3
124.7,29,3
132.55,35,3
91.1,17,3
125.6,36,3
110.1,32,3
89.6,21,3
127.7,38,4
102.4,21,4
93.5,20,4
113.8,29,4
102.8,26,4
93.9,20,4
73.8,9,4
69.3,8,4
120.9,51,5
131.7,40,5
129.9,59,5
120.4,41,5
128,49,5
114.2,36,5
128.4,47,5
120.7,42,5
116.3,41,5
110.7,35,5
105.5,31,5
120.5,47,5
123.2,38,5
124.2,37,5
125.6,40,5
118.6,41,5
104.2,30,5
116.7,27,5
132.2,45,5
115.8,32,5
101.1,20,5
110,25,1
102.3,23,1
84.1,17,1
96.4,23,1
99.5,27,1
89.8,20,1
81.7,13,1
125.9,38,1
124.3,37,1
99.5,24,1
104.1,26,1
111.9,29,1
102.2,17,1
92.1,16,1
83.9,12,1
97,12,1
113.9,44,1
108.2,26,1
106.4,28,1
102.6,22,1
99.6,21,1
90.8,22,1
118.4,30,1
97,24,1
76.6,9,1
101.8,28,1
122.8,41,2
104.9,27,2
121.5,39,2
124.2,35,2
118.9,30,2
117.4,26,2
77.5,12,2
130.6,41,2
79.3,13,2
116.8,33,2
119.5,37,2
99.5,20,2
115.2,28,2
118.7,28,2
109.2,27,2
118.3,36,2
113.8,34,2
106.9,28,2
113.4,28,2
99.8,14,2
96.8,22,2
121.1,28,2
94.3,14,2
102.4,25,2
88.1,17,2
