"","SpId","Species"
"1",1,"Eteone longa"
"2",2,"Hediste diversicolor"
"3",3,"Streblospio shrubsolii"
"4",4,"Cyathura carinata"
"5",5,"Hydrobia ulvae"
"6",6,"Tubificoides pseudogaster"
"7",7,"Melinna palmata"
"8",8,"Polydora cornuta"
"9",9,"Spionidae sp"
"10",10,"Ostracoda sp."
"11",11,"Abra tennuis"
"12",12,"Corophium volutator"
"13",13,"Aphelochaeta marioni"
"14",14,"Desdemona ornata"
"15",15,"Nephtys hombergii"
"16",16,"Tubificoides benedii"
"17",17,"Crangon crangon"
"18",18,"Polydora sp"
"19",19,"Corophium arenarium"
"20",20,"Scrobicularia plana"
"21",21,"Macoma balthica"
"22",22,"Mya arenaria"
"23",23,"Cerastoderma edule"
"24",24,"Tubificoides sp."
"25",25,"Microprotopus maculeatus"
"26",26,"Cossura longe"
"27",27,"Ruditapes phillipinarum"
"28",28,"Pygospio elegans"
"29",29,"Cirratulidae (indet.)"
"30",30,"Cerastoderma glaucum"
"31",31,"Neanthes virens"
"32",32,"Pomatochistus sp."
"33",33,"Melita palmata"
"34",34,"Eusarsiella zostericola"
"35",35,"Arenicola marina"
"36",36,"Gammarus locusta"
"37",37,"Carcinus maenas"
"38",38,"Elminius modestus"
"39",39,"Liocarcinus arcuatus"
"40",40,"Littorina littorea"
"41",41,"Amphibalanus improvisus"
"42",42,"Mytilus edulis"
"43",43,"Bryozoa indef."
"44",44,"Copepoda: Harpacticoida"
"45",45,"Retusa ovata"
"46",46,"Nephtys kersivalensis"
"47",47,"Nemertina"
"48",48,"Neoamphitrite figulus"
"49",49,"Apseudes latreillii"
"50",50,"Insecta larvae"
"51",51,"Anaitides mucosa"
"52",52,"Retusa obtusa"
"53",53,"Haminoea navicula"
"54",54,"Idotea chelipes"
"55",55,"Capitella capitata"
"56",56,"Eteone foliosa"
"57",57,"Caulleriella zetlandica"
"58",58,"Spio martinensis"
"59",59,"Glycera tridactyla"
"60",60,"Scoloplos armiger"
"61",61,"Solen marginatus"
"62",62,"Ampelisca brevicornis"
"63",63,"Dosinia lupinus"
"64",64,"Insecta indet"
"65",65,"Ampharete balthica"
"66",66,"Alderia modesta"
"67",67,"Mediomastus fragilis"
"68",68,"Parvicardium exiguum"
"69",69,"Chironomidae"
"70",70,"Idotea balthica"
"71",71,"Polycirrus sp"
"72",72,"Chaetozone christii"
"73",73,"Pseudopolydora paucibranchiata"
"74",74,"Amphipholis squamata"
"75",75,"Ruditapes decussatus"
"76",76,"Microdeutopus grllotalpus"
"77",77,"Littorina saxatilis agg."
"78",78,"Anemonia viridis"
"79",79,"Cereus pedunculatus"
"80",80,"Nematostella vectensis"
"81",81,"Aonides oxycephala"
"82",82,"Cirriformia tentaculata"
"83",83,"Eumida cf sanguinea"
"84",84,"Eumida punctifera"
"85",85,"Janua pagenstecheri"
"86",86,"Malacoceros tetraceros"
"87",87,"Microphthalmus cf similis"
"88",88,"Notomastus latericeus"
"89",89,"Parapionosyllis minuta"
"90",90,"Pomatoceros lamarki"
"91",91,"Sabella pavonina"
"92",92,"Scolelepsis sp."
"93",93,"Serpulidae sp."
"94",94,"Pranus inermis"
"95",95,"Sphaeroma rugicauda"
"96",96,"Bathyporeia indet."
"97",97,"Corophium insidiosum"
"98",98,"Phtisica marina"
"99",99,"Urothoe brevicornis"
"100",100,"Palaemonetes varians"
"101",101,"Crepidula fornicata"
"102",102,"Gibbula umbilicalis"
"103",103,"Hinia reticulata"
"104",104,"Hydrobia ventrosa"
"105",105,"Leptochitona cinereus"
"106",106,"Venerupis saxatilis"
"107",107,"Dolichopodidae"
"108",108,"Other (incl algae)"
