"","Year","Month","tmax","tmin","af","rain","sun"
"1",1957,1,9.1,2.5,7,73,NA
"2",1957,2,9.6,2.7,8,100.5,NA
"3",1957,3,12.9,5.5,4,61.3,NA
"4",1957,4,14.2,4.4,2,5.5,NA
"5",1957,5,16.1,5.5,1,43.7,NA
"6",1957,6,22.2,8.8,0,26.4,NA
"7",1957,7,21.6,12.9,0,77.2,NA
"8",1957,8,20.6,11.7,0,73.4,NA
"9",1957,9,17.8,9.6,1,76.6,NA
"10",1957,10,15.9,6.6,2,59.1,NA
"11",1957,11,9.7,3.1,5,65.2,NA
"12",1957,12,8.6,0.5,13,74.1,NA
"13",1958,1,7.8,0.5,12,113.4,NA
"14",1958,2,9.8,2.7,9,68.2,NA
"15",1958,3,8.4,0.5,14,46.4,NA
"16",1958,4,12.2,2.2,7,20.1,NA
"17",1958,5,15.8,7,0,56.3,NA
"18",1958,6,18.1,9.9,0,100.2,NA
"19",1958,7,20.5,11.7,0,41.3,NA
"20",1958,8,19.7,12.3,0,89.4,NA
"21",1958,9,19.5,11.2,0,123.8,NA
"22",1958,10,15.3,8.4,0,89.3,NA
"23",1958,11,10.3,3.5,4,69.1,NA
"24",1958,12,9,2.4,8,110.5,NA
"25",1959,1,6.9,-1,21,93.7,NA
"26",1959,2,7.4,0.9,11,7.3,NA
"27",1959,3,11.5,3.7,5,93.2,NA
"28",1959,4,13.7,5.7,1,63.5,NA
"29",1959,5,18.6,6.9,1,16.5,NA
"30",1959,6,20.8,9.5,0,36.3,NA
"31",1959,7,23.2,11,0,72.7,NA
"32",1959,8,22.9,11.3,0,56.2,NA
"33",1959,9,22.7,7.8,0,12.6,NA
"34",1959,10,17.7,7.4,1,92.8,NA
"35",1959,11,11.7,3.4,9,110.2,NA
"36",1959,12,10.2,3.4,5,200.1,NA
"37",1960,1,7.5,1.7,13,97.3,NA
"38",1960,2,8,1,12,74.6,NA
"39",1960,3,10.2,4.1,1,46.2,NA
"40",1960,4,14,4.5,3,47,NA
"41",1960,5,17.4,7.7,0,53.2,NA
"42",1960,6,21,10.6,0,66.9,NA
"43",1960,7,19.9,11.3,0,105.6,NA
"44",1960,8,19.6,11,0,118.6,NA
"45",1960,9,17.7,9.7,0,149.1,NA
"46",1960,10,14.4,7.4,2,258.9,NA
"47",1960,11,11.9,4,5,154.4,NA
"48",1960,12,7.6,1,12,80.6,NA
"49",1961,1,7.9,1.3,12,143.8,NA
"50",1961,2,10.3,5.2,1,75.9,NA
"51",1961,3,13.3,1.7,12,0.5,NA
"52",1961,4,14.1,7,0,117.9,NA
"53",1961,5,16.4,5.3,2,25.4,NA
"54",1961,6,20.1,8.5,0,20.8,NA
"55",1961,7,21.3,10.1,0,27.8,NA
"56",1961,8,21,11.2,0,18.3,NA
"57",1961,9,20.1,10.6,0,64.2,NA
"58",1961,10,15.8,7.3,1,112.8,NA
"59",1961,11,10,3.5,7,62.3,NA
"60",1961,12,7.4,0.2,16,84.8,NA
"61",1962,1,8.3,1.8,8,121.6,NA
"62",1962,2,8.2,1.2,10,9.3,NA
"63",1962,3,7.6,-1.6,20,34.4,NA
"64",1962,4,12.3,3.8,3,38.8,NA
"65",1962,5,13.6,5.7,2,72.6,NA
"66",1962,6,18.8,7.8,0,7.3,NA
"67",1962,7,19.8,10.6,0,37.6,NA
"68",1962,8,19.8,10.6,0,82.6,NA
"69",1962,9,17.4,7.8,1,77.2,NA
"70",1962,10,15.6,5.7,1,38.3,NA
"71",1962,11,9.5,2.3,8,99.8,NA
"72",1962,12,6.1,-1.1,22,54.8,NA
"73",1963,1,0.4,-6.1,30,11.2,NA
"74",1963,2,2.6,-2.7,24,41.2,NA
"75",1963,3,9.3,2.1,8,105.1,NA
"76",1963,4,12.5,5.2,3,87.3,NA
"77",1963,5,15.2,5.7,0,32.5,NA
"78",1963,6,19,10.3,0,105.4,NA
"79",1963,7,19.6,10.5,0,41.2,NA
"80",1963,8,19.3,10.9,0,131.5,NA
"81",1963,9,17.8,9.2,0,90.3,NA
"82",1963,10,14.8,7.8,0,48.6,NA
"83",1963,11,12.4,6,5,191.7,NA
"84",1963,12,5.8,-1.1,18,36.1,NA
"85",1964,1,6.4,1.2,8,11.2,NA
"86",1964,2,7.9,1.9,6,28,NA
"87",1964,3,8.1,2.5,7,99.5,NA
"88",1964,4,11.9,5.1,3,58.5,NA
"89",1964,5,17.1,8.8,0,109.9,NA
"90",1964,6,18,10.2,0,68.5,NA
"91",1964,7,21.6,11.6,0,13.9,NA
"92",1964,8,21.2,10.6,0,26,NA
"93",1964,9,20.2,9,0,22.9,NA
"94",1964,10,13.8,4.1,4,59.3,NA
"95",1964,11,11.6,4.4,5,49.4,NA
"96",1964,12,7.7,0,18,86.9,NA
"97",1965,1,7.3,0.7,14,97.5,NA
"98",1965,2,6.5,-0.8,17,7.3,NA
"99",1965,3,9.9,1.5,10,80.3,NA
"100",1965,4,13,3.5,6,33.9,NA
"101",1965,5,15.6,7.3,1,40.4,NA
"102",1965,6,18.3,9.4,0,61.3,NA
"103",1965,7,18.7,11.1,0,103.3,NA
"104",1965,8,19.7,11.1,0,63.8,NA
"105",1965,9,16.5,8.1,0,99.8,NA
"106",1965,10,16.2,6.7,0,17.9,NA
"107",1965,11,9.6,2.2,12,123.3,NA
"108",1965,12,9.5,1.9,9,118.5,NA
"109",1966,1,6.1,1.5,14,79.3,NA
"110",1966,2,9.4,5.2,1,140.6,NA
"111",1966,3,10.9,2.3,6,18.1,NA
"112",1966,4,12.2,5.3,0,101.7,NA
"113",1966,5,16.1,6.3,0,44.9,NA
"114",1966,6,20.1,10.7,0,47.5,NA
"115",1966,7,20.3,10.8,0,69.6,NA
"116",1966,8,19.9,10.6,0,106.8,NA
"117",1966,9,19.2,9.3,0,41.7,NA
"118",1966,10,15,6.8,2,216.1,NA
"119",1966,11,9.4,1.9,8,58,NA
"120",1966,12,10.2,2.7,8,69.2,NA
"121",1967,1,7.6,1.4,12,103.8,NA
"122",1967,2,9.5,2,14,97.1,NA
"123",1967,3,11.3,3.9,2,59.3,NA
"124",1967,4,12.8,4.1,3,31.6,NA
"125",1967,5,14.8,7.3,2,124.5,NA
"126",1967,6,19.4,9.3,0,38.3,NA
"127",1967,7,21.5,11.3,0,24.1,NA
"128",1967,8,20.2,11.3,0,61.5,NA
"129",1967,9,17.9,10.5,0,108.8,NA
"130",1967,10,14.8,8.8,1,174,NA
"131",1967,11,9.9,1.3,8,49.7,NA
"132",1967,12,8,0.7,15,49.1,NA
"133",1968,1,8.1,1.7,11,73.4,NA
"134",1968,2,6.4,-1.6,20,58.4,NA
"135",1968,3,10.7,2.3,9,26.5,NA
"136",1968,4,12.7,2.8,10,65.6,NA
"137",1968,5,15,5.6,0,65,NA
"138",1968,6,19.3,10.6,0,86.3,NA
"139",1968,7,20,10.7,0,43.7,NA
"140",1968,8,19.9,12.1,0,44.6,NA
"141",1968,9,18.2,10.3,0,138.5,NA
"142",1968,10,16.1,10.5,0,104.7,NA
"143",1968,11,10.4,4.5,5,40.6,NA
"144",1968,12,6.9,1.2,12,111,40.4
"145",1969,1,9.5,3.4,8,127.4,33.4
"146",1969,2,5.7,-1.5,18,43.1,84.6
"147",1969,3,8.9,1.1,11,79,73.8
"148",1969,4,13.3,2.9,9,25.2,201.3
"149",1969,5,15.5,7.3,0,95.7,170.3
"150",1969,6,19.8,9,0,32.9,257.8
"151",1969,7,22.2,11.5,0,51.7,248.1
"152",1969,8,21,12.4,0,62.8,170.1
"153",1969,9,18.7,10,0,46.2,99.3
"154",1969,10,17.4,7.9,2,2.7,133.5
"155",1969,11,10.3,2.3,10,146.6,94.2
"156",1969,12,7.1,0.4,15,102.9,54.5
"157",1970,1,7.9,1.6,10,154.9,37.2
"158",1970,2,7.9,0.3,14,64.8,109.7
"159",1970,3,8.6,0.1,16,50.9,125.6
"160",1970,4,11.1,3,8,48.3,149.5
"161",1970,5,17.8,6.7,0,34.9,235
"162",1970,6,21.6,10.9,0,24.7,262.9
"163",1970,7,20.3,11.1,0,46.2,189.8
"164",1970,8,20.9,10.8,0,48.6,175.9
"165",1970,9,19.4,10.2,0,77.9,188.6
"166",1970,10,15.3,7,2,21.2,116.1
"167",1970,11,12.4,5.1,5,217.3,63.7
"168",1970,12,7.2,0.9,16,32,65.2
"169",1971,1,8.2,2.8,5,128.4,53.1
"170",1971,2,8.7,0,14,22.5,85.9
"171",1971,3,9.1,1,12,65.7,121.1
"172",1971,4,12.6,3.4,4,55.3,168
"173",1971,5,16.8,6,2,27.5,240
"174",1971,6,17.4,8.8,0,131.2,180.3
"175",1971,7,22.9,11.7,0,11.7,279.7
"176",1971,8,20.2,12.6,0,53,160.2
"177",1971,9,20.2,7.8,0,8.6,204.4
"178",1971,10,16.7,7,3,44.4,139.1
"179",1971,11,10.8,0.1,15,57.6,107
"180",1971,12,9.4,3.9,8,32.1,37.2
"181",1972,1,7.5,1.7,10,107,43.6
"182",1972,2,8.3,2.6,3,108.4,40.1
"183",1972,3,12.1,2.4,4,100.6,166.6
"184",1972,4,13.2,5,2,61.1,175.5
"185",1972,5,14.4,6.8,0,79.4,168.2
"186",1972,6,15.5,7.8,0,56.7,156.7
"187",1972,7,20.6,11.1,0,32.6,198.4
"188",1972,8,21,10.4,0,25.4,207.8
"189",1972,9,17.3,7.1,0,29.6,150.6
"190",1972,10,15,6.5,1,26.4,105.6
"191",1972,11,10.4,2,12,95.6,78.2
"192",1972,12,10.1,2.9,10,125.8,58.6
"193",1973,1,7.8,1.3,13,46.7,27
"194",1973,2,8.4,0.1,14,15.9,88.1
"195",1973,3,11,0,18,14.9,143.8
"196",1973,4,12.3,2.6,6,40.2,180.9
"197",1973,5,15.9,7.3,1,77.3,176.6
"198",1973,6,20.1,9.5,0,51.6,237.5
"199",1973,7,20.9,11,0,27.9,193.4
"200",1973,8,22.9,12,0,37,218.7
"201",1973,9,19.8,10.3,0,52.4,161.9
"202",1973,10,14.3,4.7,7,63.9,125.8
"203",1973,11,11.1,2.5,12,31.4,81.8
"204",1973,12,9.4,1.8,13,49.9,53.1
"205",1974,1,10,3.9,3,121.1,43.5
"206",1974,2,9.5,2,10,120.9,80.4
"207",1974,3,10.3,2.2,10,35.9,104.5
"208",1974,4,14.2,2.9,7,10.4,191.8
"209",1974,5,15.9,5.9,1,41.8,237.6
"210",1974,6,19.2,9.5,0,59.7,217.7
"211",1974,7,19.7,11.7,0,39,190.8
"212",1974,8,20.1,10.2,0,83.9,209.6
"213",1974,9,16.6,8.7,1,176,159.5
"214",1974,10,11.9,4.1,2,49.1,127.1
"215",1974,11,11.2,4.8,0,150.6,64.2
"216",1974,12,11.1,5.8,1,45.4,48.5
"217",1975,1,10.5,3.8,6,115.4,49.5
"218",1975,2,9.5,0.8,13,24.3,90.8
"219",1975,3,8.9,1.8,10,80.8,91.2
"220",1975,4,12.6,3.7,9,37.9,159.2
"221",1975,5,15.2,6,0,32.2,199.5
