"","Year","Month","tmax","tmin","af","rain","sun","date","month","station"
"1",1957,"1",9.1,2.5,7,73,NA,1957-01-15,"Jan","hurn"
"2",1957,"2",9.6,2.7,8,100.5,NA,1957-02-15,"Feb","hurn"
"3",1957,"3",12.9,5.5,4,61.3,NA,1957-03-15,"Mar","hurn"
"4",1957,"4",14.2,4.4,2,5.5,NA,1957-04-15,"Apr","hurn"
"5",1957,"5",16.1,5.5,1,43.7,NA,1957-05-15,"May","hurn"
"6",1957,"6",22.2,8.8,0,26.4,NA,1957-06-15,"Jun","hurn"
"7",1957,"7",21.6,12.9,0,77.2,NA,1957-07-15,"Jul","hurn"
"8",1957,"8",20.6,11.7,0,73.4,NA,1957-08-15,"Aug","hurn"
"9",1957,"9",17.8,9.6,1,76.6,NA,1957-09-15,"Sep","hurn"
"10",1957,"10",15.9,6.6,2,59.1,NA,1957-10-15,"Oct","hurn"
"11",1957,"11",9.7,3.1,5,65.2,NA,1957-11-15,"Nov","hurn"
"12",1957,"12",8.6,0.5,13,74.1,NA,1957-12-15,"Dec","hurn"
"13",1958,"1",7.8,0.5,12,113.4,NA,1958-01-15,"Jan","hurn"
"14",1958,"2",9.8,2.7,9,68.2,NA,1958-02-15,"Feb","hurn"
"15",1958,"3",8.4,0.5,14,46.4,NA,1958-03-15,"Mar","hurn"
"16",1958,"4",12.2,2.2,7,20.1,NA,1958-04-15,"Apr","hurn"
"17",1958,"5",15.8,7,0,56.3,NA,1958-05-15,"May","hurn"
"18",1958,"6",18.1,9.9,0,100.2,NA,1958-06-15,"Jun","hurn"
"19",1958,"7",20.5,11.7,0,41.3,NA,1958-07-15,"Jul","hurn"
"20",1958,"8",19.7,12.3,0,89.4,NA,1958-08-15,"Aug","hurn"
"21",1958,"9",19.5,11.2,0,123.8,NA,1958-09-15,"Sep","hurn"
"22",1958,"10",15.3,8.4,0,89.3,NA,1958-10-15,"Oct","hurn"
"23",1958,"11",10.3,3.5,4,69.1,NA,1958-11-15,"Nov","hurn"
"24",1958,"12",9,2.4,8,110.5,NA,1958-12-15,"Dec","hurn"
"25",1959,"1",6.9,-1,21,93.7,NA,1959-01-15,"Jan","hurn"
"26",1959,"2",7.4,0.9,11,7.3,NA,1959-02-15,"Feb","hurn"
"27",1959,"3",11.5,3.7,5,93.2,NA,1959-03-15,"Mar","hurn"
"28",1959,"4",13.7,5.7,1,63.5,NA,1959-04-15,"Apr","hurn"
"29",1959,"5",18.6,6.9,1,16.5,NA,1959-05-15,"May","hurn"
"30",1959,"6",20.8,9.5,0,36.3,NA,1959-06-15,"Jun","hurn"
"31",1959,"7",23.2,11,0,72.7,NA,1959-07-15,"Jul","hurn"
"32",1959,"8",22.9,11.3,0,56.2,NA,1959-08-15,"Aug","hurn"
"33",1959,"9",22.7,7.8,0,12.6,NA,1959-09-15,"Sep","hurn"
"34",1959,"10",17.7,7.4,1,92.8,NA,1959-10-15,"Oct","hurn"
"35",1959,"11",11.7,3.4,9,110.2,NA,1959-11-15,"Nov","hurn"
"36",1959,"12",10.2,3.4,5,200.1,NA,1959-12-15,"Dec","hurn"
"37",1960,"1",7.5,1.7,13,97.3,NA,1960-01-15,"Jan","hurn"
"38",1960,"2",8,1,12,74.6,NA,1960-02-15,"Feb","hurn"
"39",1960,"3",10.2,4.1,1,46.2,NA,1960-03-15,"Mar","hurn"
"40",1960,"4",14,4.5,3,47,NA,1960-04-15,"Apr","hurn"
"41",1960,"5",17.4,7.7,0,53.2,NA,1960-05-15,"May","hurn"
"42",1960,"6",21,10.6,0,66.9,NA,1960-06-15,"Jun","hurn"
"43",1960,"7",19.9,11.3,0,105.6,NA,1960-07-15,"Jul","hurn"
"44",1960,"8",19.6,11,0,118.6,NA,1960-08-15,"Aug","hurn"
"45",1960,"9",17.7,9.7,0,149.1,NA,1960-09-15,"Sep","hurn"
"46",1960,"10",14.4,7.4,2,258.9,NA,1960-10-15,"Oct","hurn"
"47",1960,"11",11.9,4,5,154.4,NA,1960-11-15,"Nov","hurn"
"48",1960,"12",7.6,1,12,80.6,NA,1960-12-15,"Dec","hurn"
"49",1961,"1",7.9,1.3,12,143.8,NA,1961-01-15,"Jan","hurn"
"50",1961,"2",10.3,5.2,1,75.9,NA,1961-02-15,"Feb","hurn"
"51",1961,"3",13.3,1.7,12,0.5,NA,1961-03-15,"Mar","hurn"
"52",1961,"4",14.1,7,0,117.9,NA,1961-04-15,"Apr","hurn"
"53",1961,"5",16.4,5.3,2,25.4,NA,1961-05-15,"May","hurn"
"54",1961,"6",20.1,8.5,0,20.8,NA,1961-06-15,"Jun","hurn"
"55",1961,"7",21.3,10.1,0,27.8,NA,1961-07-15,"Jul","hurn"
"56",1961,"8",21,11.2,0,18.3,NA,1961-08-15,"Aug","hurn"
"57",1961,"9",20.1,10.6,0,64.2,NA,1961-09-15,"Sep","hurn"
"58",1961,"10",15.8,7.3,1,112.8,NA,1961-10-15,"Oct","hurn"
"59",1961,"11",10,3.5,7,62.3,NA,1961-11-15,"Nov","hurn"
"60",1961,"12",7.4,0.2,16,84.8,NA,1961-12-15,"Dec","hurn"
"61",1962,"1",8.3,1.8,8,121.6,NA,1962-01-15,"Jan","hurn"
"62",1962,"2",8.2,1.2,10,9.3,NA,1962-02-15,"Feb","hurn"
"63",1962,"3",7.6,-1.6,20,34.4,NA,1962-03-15,"Mar","hurn"
"64",1962,"4",12.3,3.8,3,38.8,NA,1962-04-15,"Apr","hurn"
"65",1962,"5",13.6,5.7,2,72.6,NA,1962-05-15,"May","hurn"
"66",1962,"6",18.8,7.8,0,7.3,NA,1962-06-15,"Jun","hurn"
"67",1962,"7",19.8,10.6,0,37.6,NA,1962-07-15,"Jul","hurn"
"68",1962,"8",19.8,10.6,0,82.6,NA,1962-08-15,"Aug","hurn"
"69",1962,"9",17.4,7.8,1,77.2,NA,1962-09-15,"Sep","hurn"
"70",1962,"10",15.6,5.7,1,38.3,NA,1962-10-15,"Oct","hurn"
