"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","hour"
"1","",FALSE,44035,NA,2019-03-03 01:39:36,FALSE,NA,"1102020668135272454",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12402,FALSE,FALSE,NA,NA,20
"2","We’ve got NASA “rocking” again. Great activity and success. Congrats to SPACEX and all!",FALSE,116653,NA,2019-03-03 00:48:00,FALSE,NA,"1102007681588563969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17495,FALSE,FALSE,NA,NA,19
"3","The brand new manuscript for a new book by failed lawyer Michael Cohen shows his testimony was a total lie! Pundits should only use it.",FALSE,49405,NA,2019-03-03 00:34:51,FALSE,NA,"1102004371225751557",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10794,FALSE,FALSE,NA,NA,19
"4","Virtually everything failed lawyer Michael Cohen said in his sworn testimony last week is totally contradicted in h… ",FALSE,68140,NA,2019-03-03 00:27:40,TRUE,NA,"1102002565116542976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15333,FALSE,FALSE,NA,NA,19
"5","Thank you marklevinshow!
",FALSE,65670,NA,2019-03-02 16:21:42,FALSE,NA,"1101880269106221058",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17930,FALSE,FALSE,NA,NA,11
"6","Will be speaking at CPAC at 11:30 this morning. Record crowd, live broadcast. Enjoy!",FALSE,69226,NA,2019-03-02 13:40:37,FALSE,NA,"1101839731761995776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13106,FALSE,FALSE,NA,NA,8
"7","Very proud of perhaps the greatest golf course anywhere in the world. Also, furthers U.K. relationship! ",FALSE,54624,NA,2019-03-02 13:31:45,FALSE,NA,"1101837499230498816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10209,FALSE,FALSE,NA,NA,8
"8","I have asked China to immediately remove all Tariffs on our agricultural products (including beef, pork, etc.) base… ",FALSE,116478,NA,2019-03-01 23:08:11,TRUE,NA,"1101620175638614016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22211,FALSE,FALSE,NA,NA,18
"9","I never like being misinterpreted, but especially when it comes to Otto Warmbier and his great family. Remember, I… ",FALSE,116257,NA,2019-03-01 21:03:13,TRUE,NA,"1101588727258787840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24379,FALSE,FALSE,NA,NA,16
"10","Michael Cohen’s book manuscript shows that he committed perjury on a scale not seen before. He must have forgotten… ",FALSE,91530,NA,2019-03-01 13:37:09,TRUE,NA,"1101476470034259968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23073,FALSE,FALSE,NA,NA,8
