"","ID","Earnings"
"1",1,6.678
"2",2,6.763
"3",3,6.818
"4",4,6.683
"5",5,6.902
"6",6,6.663
"7",7,7.088
"8",8,6.918
"9",9,7.453
"10",10,6.467
"11",11,6.353
"12",12,7.366
"13",13,6.57
"14",14,6.637
"15",15,6.834
"16",16,6.697
"17",17,6.885
"18",18,6.522
"19",19,6.68
"20",20,7.305
"21",21,6.778
"22",22,6.887
"23",23,7.005
"24",24,7.482
"25",25,7.373
"26",26,6.62
"27",27,7.134
"28",28,6.996
"29",29,6.586
"30",30,7.333
"31",31,7.586
"32",32,7.21
"33",33,7.455
"34",34,6.749
"35",35,7.533
"36",36,6.427
"37",37,7.582
"38",38,6.927
"39",39,6.426
"40",40,7.248
"41",41,6.8
"42",42,7.338
"43",43,6.455
"44",44,6.893
"45",45,6.35
"46",46,6.667
"47",47,7.39
"48",48,7.152
"49",49,6.498
"50",50,7.585
"51",51,7.53
"52",52,6.52
"53",53,7.287
"54",54,7.42
"55",55,6.819
"56",56,7.454
"57",57,6.578
"58",58,7.427
"59",59,6.369
"60",60,6.666
"61",61,7.205
"62",62,6.665
"63",63,7.127
"64",64,7.387
"65",65,7.071
"66",66,7.589
"67",67,7.541
"68",68,6.888
"69",69,7.554
"70",70,7.497
"71",71,7.464
"72",72,7.496
"73",73,7.108
"74",74,6.892
"75",75,7.03
"76",76,7.203
"77",77,6.496
"78",78,6.456
"79",79,7.266
"80",80,6.601
"81",81,7.238
"82",82,6.424
"83",83,7.063
"84",84,6.55
"85",85,7.435
"86",86,6.489
"87",87,7.462
"88",88,6.7
"89",89,6.905
"90",90,6.801
"91",91,7.113
"92",92,6.855
"93",93,7.037
"94",94,7.046
"95",95,7.278
"96",96,7.388
"97",97,7.32
"98",98,6.791
"99",99,6.695
"100",100,7.291
"101",101,6.698
"102",102,7.459
"103",103,7.231
"104",104,6.944
"105",105,7.545
"106",106,7.604
"107",107,7.054
"108",108,6.452
"109",109,6.458
"110",110,7.264
"111",111,6.934
"112",112,7.188
"113",113,6.503
"114",114,7.525
"115",115,6.418
"116",116,6.423
"117",117,6.848
"118",118,6.761
"119",119,6.984
