"","Wt","Wing","Sex","Month"
"1",15.6,53,"Female","7"
"2",15.7,55.5,"Female","7"
"3",15.8,54,"Female","8"
"4",16,56.5,"Female","7"
"5",16,56.5,"Female","8"
"6",16,54,"Female","7"
"7",16.2,57,"Female","7"
"8",16.2,57,"Female","7"
"9",16.3,52.5,"Female","7"
"10",16.4,55.5,"Female","8"
"11",16.4,56,"Female","7"
"12",16.4,54,"Female","7"
"13",16.4,55,"Female","7"
"14",16.4,55,"Female","8"
"15",16.5,57,"Male","6"
"16",16.5,54.5,"Female","6"
"17",16.5,55,"Female","7"
"18",16.5,54.5,"Female","7"
"19",16.5,54.5,"Female","6"
"20",16.5,54,"Female","8"
"21",16.5,55,"Female","7"
"22",16.6,54,"Female","8"
"23",16.6,55,"Female","7"
"24",16.6,54,"Female","8"
"25",16.6,56,"Female","8"
"26",16.6,56.5,"Female","7"
"27",16.6,54.5,"Female","7"
"28",16.6,57,"Female","7"
"29",16.7,55,"Female","7"
"30",16.7,55,"Female","8"
"31",16.7,54,"Female","7"
"32",16.8,56,"Female","8"
"33",16.9,55,"Female","6"
"34",16.9,53,"Female","7"
"35",16.9,58.5,"Female","6"
"36",17,55.5,"Female","7"
"37",17,56,"Female","7"
"38",17,54,"Female","7"
"39",17,54,"Female","8"
"40",17,55,"Female","6"
"41",17,54,"Female","6"
"42",17,56,"Female","7"
"43",17.1,57.5,"Female","7"
"44",17.1,55,"Female","6"
"45",17.1,54,"Female","7"
"46",17.1,56.5,"Female","8"
"47",17.2,54,"Female","6"
"48",17.2,55,"Female","7"
"49",17.2,56,"Female","6"
"50",17.2,53,"Female","6"
"51",17.2,56.5,"Female","6"
"52",17.2,57,"Female","6"
"53",17.2,53,"Female","6"
"54",17.2,55.5,"Female","7"
"55",17.3,58,"Female","9"
"56",17.3,55,"Female","6"
"57",17.4,56,"Female","8"
"58",17.4,56.5,"Female","6"
"59",17.4,53,"Female","8"
"60",17.4,55,"Female","7"
"61",17.5,56.5,"Male","6"
"62",17.5,57.5,"Male","6"
"63",17.5,54.5,"Female","8"
"64",17.5,54,"Female","6"
"65",17.5,54,"Female","7"
"66",17.5,54.5,"Female","6"
"67",17.5,54.5,"Female","6"
"68",17.5,55,"Female","7"
"69",17.5,56,"Female","7"
"70",17.5,57,"Female","7"
"71",17.5,54,"Female","7"
"72",17.5,56,"Female","6"
"73",17.5,55,"Female","6"
"74",17.5,54,"Female","6"
"75",17.5,55,"Female","7"
"76",17.5,55,"Female","7"
"77",17.5,57,"Female","7"
"78",17.6,54,"Female","8"
"79",17.6,56,"Female","6"
"80",17.6,54,"Female","7"
"81",17.6,54,"Female","8"
"82",17.6,56,"Female","7"
"83",17.6,58,"Female","7"
"84",17.6,54,"Female","7"
"85",17.6,55,"Female","9"
"86",17.7,53.5,"Female","6"
"87",17.7,54.5,"Female","7"
"88",17.7,54.5,"Female","6"
"89",17.7,55,"Female","7"
"90",17.7,56.5,"Female","7"
"91",17.8,53.5,"Female","7"
"92",17.8,56.5,"Female","6"
"93",17.8,56.5,"Female","8"
"94",17.8,56,"Female","9"
"95",17.8,54,"Female","6"
"96",17.8,55,"Female","7"
"97",17.9,59,"Male","6"
"98",17.9,56,"Male","6"
"99",17.9,56.5,"Female","6"
"100",17.9,55,"Female","7"
"101",17.9,55,"Female","6"
"102",17.9,53.5,"Female","8"
"103",17.9,54,"Female","7"
"104",18,57,"Male","7"
"105",18,55.5,"Male","7"
"106",18,57,"Male","7"
"107",18,56,"Female","7"
"108",18,55,"Female","7"
