danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,album_uri,track_number,track_name,album_name,album_img,album_release_date,album_release_year,artist
0.421,0.98,1,-4.229,1,0.212,NA,0.00125,0.237,0.435,165.193,5rTIpPWeO0IL4HWlGWrz5G,170253,4,6rsQnwaoJHxXJRCDBPkBRw,1,Brianstorm,Favourite Worst Nightmare (Standard Version),https://i.scdn.co/image/ed8f3f372b872b9ac58329b26937bffe1563a70e,2007-04-24,2007,Arctic Monkeys
0.637,0.973,9,-3.386,1,0.112,4.13e-4,NA,0.104,0.8,150.223,4OkPamOn5GofkOQu64Z4eR,160640,4,6rsQnwaoJHxXJRCDBPkBRw,2,Teddy Picker,Favourite Worst Nightmare (Standard Version),https://i.scdn.co/image/ed8f3f372b872b9ac58329b26937bffe1563a70e,2007-04-24,2007,Arctic Monkeys
0.551,0.928,1,-4.776,1,0.0365,NA,1.08e-4,0.145,0.736,145.057,45QyGXbqTWaFUrIKe2ugs3,134733,4,6rsQnwaoJHxXJRCDBPkBRw,3,D Is For Dangerous,Favourite Worst Nightmare (Standard Version),https://i.scdn.co/image/ed8f3f372b872b9ac58329b26937bffe1563a70e,2007-04-24,2007,Arctic Monkeys
0.417,0.824,11,-4.524,0,0.105,0.00168,NA,0.343,0.642,137.836,11DdPGqDsM3ux1gVAqUIln,167440,4,6rsQnwaoJHxXJRCDBPkBRw,4,Balaclava,Favourite Worst Nightmare (Standard Version),https://i.scdn.co/image/ed8f3f372b872b9ac58329b26937bffe1563a70e,2007-04-24,2007,Arctic Monkeys
0.646,0.813,6,-5.29,0,0.0288,0.00178,NA,0.144,0.821,112.115,7e8utCy2JlSB8dRHKi49xM,173493,4,6rsQnwaoJHxXJRCDBPkBRw,5,Fluorescent Adolescent,Favourite Worst Nightmare (Standard Version),https://i.scdn.co/image/ed8f3f372b872b9ac58329b26937bffe1563a70e,2007-04-24,2007,Arctic Monkeys
0.257,0.409,7,-10.828,0,0.0363,0.899,0.00293,0.109,0.0794,145.759,7ABWRukVQcXrIrDKDx5Gek,181480,5,6rsQnwaoJHxXJRCDBPkBRw,6,Only Ones Who Know,Favourite Worst Nightmare (Standard Version),https://i.scdn.co/image/ed8f3f372b872b9ac58329b26937bffe1563a70e,2007-04-24,2007,Arctic Monkeys
0.471,0.735,11,-6.685,0,0.0582,NA,0.122,0.101,0.636,180.127,13NCxLOlvQ4Tnexgfp03Gs,205240,4,6rsQnwaoJHxXJRCDBPkBRw,7,Do Me A Favour,Favourite Worst Nightmare (Standard Version),https://i.scdn.co/image/ed8f3f372b872b9ac58329b26937bffe1563a70e,2007-04-24,2007,Arctic Monkeys
0.472,0.909,7,-5.349,1,0.0584,NA,0.00277,0.644,0.388,155.311,7gPd55hW5pVjTm3H9S1Wbv,189680,4,6rsQnwaoJHxXJRCDBPkBRw,8,This House Is A Circus,Favourite Worst Nightmare (Standard Version),https://i.scdn.co/image/ed8f3f372b872b9ac58329b26937bffe1563a70e,2007-04-24,2007,Arctic Monkeys
0.232,0.8,4,-6.853,0,0.0536,8.2e-4,0.0244,0.128,0.224,201.1,0ZUXj43fteJjwvGoLMntte,274200,3,6rsQnwaoJHxXJRCDBPkBRw,9,"If You Were There, Beware",Favourite Worst Nightmare (Standard Version),https://i.scdn.co/image/ed8f3f372b872b9ac58329b26937bffe1563a70e,2007-04-24,2007,Arctic Monkeys
0.545,0.953,2,-3.737,1,0.0703,0.00118,0,0.26,0.591,111.121,48ucaKjccruxDbi3Au5ZaH,143213,4,6rsQnwaoJHxXJRCDBPkBRw,10,The Bad Thing,Favourite Worst Nightmare (Standard Version),https://i.scdn.co/image/ed8f3f372b872b9ac58329b26937bffe1563a70e,2007-04-24,2007,Arctic Monkeys
0.663,0.839,0,-4.453,1,0.0695,1.85e-4,NA,0.0808,0.75,135.155,3BcQFPRZuuUClWStz29WjN,187133,4,6rsQnwaoJHxXJRCDBPkBRw,11,Old Yellow Bricks,Favourite Worst Nightmare (Standard Version),https://i.scdn.co/image/ed8f3f372b872b9ac58329b26937bffe1563a70e,2007-04-24,2007,Arctic Monkeys
0.52,0.852,0,-5.866,1,0.0543,0.00237,NA,0.0733,0.234,140.267,58ge6dfP91o9oXMzq3XkIS,253587,4,6rsQnwaoJHxXJRCDBPkBRw,12,505,Favourite Worst Nightmare (Standard Version),https://i.scdn.co/image/ed8f3f372b872b9ac58329b26937bffe1563a70e,2007-04-24,2007,Arctic Monkeys
0.42,0.974,1,-4.706,1,0.191,NA,0.00155,0.0871,0.463,165.182,7f9I5WdyXm5q1XqnSYgQZb,172867,4,1XkGORuUX2QGOEIL4EbJKm,1,Brianstorm,Favourite Worst Nightmare,https://i.scdn.co/image/637c657bc3053d9f5fecad1c9ae68e20d8ab2eb6,2007-04-22,2007,Arctic Monkeys
0.637,0.963,9,-5.116,1,0.0882,2.86e-4,8.89e-4,0.0449,0.823,150.1,5kxVyCgEUND7E2QKG7JmoF,165e3,4,1XkGORuUX2QGOEIL4EbJKm,2,Teddy Picker,Favourite Worst Nightmare,https://i.scdn.co/image/637c657bc3053d9f5fecad1c9ae68e20d8ab2eb6,2007-04-22,2007,Arctic Monkeys
0.555,0.925,1,-4.689,1,0.0362,NA,1.61e-4,0.0659,0.77,145.061,5RrHzXKmwVd5BCq4UzyJPd,138107,4,1XkGORuUX2QGOEIL4EbJKm,3,D is for Dangerous,Favourite Worst Nightmare,https://i.scdn.co/image/637c657bc3053d9f5fecad1c9ae68e20d8ab2eb6,2007-04-22,2007,Arctic Monkeys
0.414,0.811,11,-4.4,0,0.0919,0.00133,1.29e-4,0.333,0.762,137.617,0ftMOhVfFm5Wbs5sZdEtsC,171227,4,1XkGORuUX2QGOEIL4EbJKm,4,Balaclava,Favourite Worst Nightmare,https://i.scdn.co/image/637c657bc3053d9f5fecad1c9ae68e20d8ab2eb6,2007-04-22,2007,Arctic Monkeys
0.654,0.828,1,-5.377,0,0.0281,0.00146,1.44e-4,0.122,0.79,112.056,2x8evxqUlF0eRabbW2JBJd,183893,4,1XkGORuUX2QGOEIL4EbJKm,5,Fluorescent Adolescent,Favourite Worst Nightmare,https://i.scdn.co/image/637c657bc3053d9f5fecad1c9ae68e20d8ab2eb6,2007-04-22,2007,Arctic Monkeys
0.29,0.399,7,-10.696,0,0.0338,0.902,0.0019,0.105,0.0965,128.37,71ytDkCnYc11VRiRCrhDHX,184760,5,1XkGORuUX2QGOEIL4EbJKm,6,Only Ones Who Know,Favourite Worst Nightmare,https://i.scdn.co/image/637c657bc3053d9f5fecad1c9ae68e20d8ab2eb6,2007-04-22,2007,Arctic Monkeys
0.469,0.738,11,-6.638,0,0.0619,1.3e-4,0.0577,0.078,0.624,180.15,2BqfIlpahcebJPeu1IUTEo,209253,4,1XkGORuUX2QGOEIL4EbJKm,7,Do Me a Favour,Favourite Worst Nightmare,https://i.scdn.co/image/637c657bc3053d9f5fecad1c9ae68e20d8ab2eb6,2007-04-22,2007,Arctic Monkeys
0.476,0.844,7,-5.253,1,0.0431,NA,0.00196,0.272,0.658,155.322,0DKvcH4SCRdhVYTxStKx9h,191680,4,1XkGORuUX2QGOEIL4EbJKm,8,This House is a Circus,Favourite Worst Nightmare,https://i.scdn.co/image/637c657bc3053d9f5fecad1c9ae68e20d8ab2eb6,2007-04-22,2007,Arctic Monkeys
0.328,0.805,4,-6.74,0,0.0383,9.38e-4,0.048,0.104,0.264,135.546,0idZZsnM7nuSYanlpKTuwV,276200,4,1XkGORuUX2QGOEIL4EbJKm,9,"If You Were There, Beware",Favourite Worst Nightmare,https://i.scdn.co/image/637c657bc3053d9f5fecad1c9ae68e20d8ab2eb6,2007-04-22,2007,Arctic Monkeys
0.55,0.952,2,-3.638,1,0.075,0.00103,0,0.257,0.538,111.066,4N2yjWLIxZjOXDrCu2VlJe,145213,4,1XkGORuUX2QGOEIL4EbJKm,10,The Bad Thing,Favourite Worst Nightmare,https://i.scdn.co/image/637c657bc3053d9f5fecad1c9ae68e20d8ab2eb6,2007-04-22,2007,Arctic Monkeys
